user,deleted,date,text,url
JohnDaytrader,TRUE,2022-11-14,@BloombergTV https://t.co/leJq1KRZXq,https://web.archive.org/web/20221114113831/https://twitter.com/JohnDaytrader/status/1592119785449754626
JohnDaytrader,TRUE,2022-11-11,@Breaking911 Keep sending money to Ukraineâ€¦ https://t.co/uB99EBmWuO,https://web.archive.org/web/20221111013052/https://twitter.com/JohnDaytrader/status/1590879701719191552
JohnDaytrader,TRUE,2022-10-10,@RayDalio https://t.co/hNmM5TQNbf,https://web.archive.org/web/20221010203615/https://twitter.com/JohnDaytrader/status/1579571535152844802
JohnDaytrader,TRUE,2022-09-23,@DeItaone https://t.co/yiSF2Oz6hz,https://web.archive.org/web/20220923103626/https://twitter.com/JohnDaytrader/status/1573259992643375105
JohnDaytrader,TRUE,2022-09-07,Nuclear energy is the future.  Look at all the Asian countries that are building nuclear plants - they know.  Buy uranium $CCJ $UUUU $DNN $URNM $URA,https://web.archive.org/web/20220907190902/https://twitter.com/JohnDaytrader/status/1567590652900265987
JohnDaytrader,TRUE,2022-09-07,,https://web.archive.org/web/20220907023525/https://twitter.com/JohnDaytrader/status/1567340467070681088
JohnDaytrader,TRUE,2022-09-07,,https://web.archive.org/web/20220907023505/https://twitter.com/JohnDaytrader/status/1567340006607298561
JohnDaytrader,TRUE,2022-07-28,,https://web.archive.org/web/20220728170715/https://twitter.com/JohnDaytrader/status/1552612077688209408
JohnDaytrader,TRUE,2022-07-13,#Bidenflation,https://web.archive.org/web/20220713135206/https://twitter.com/JohnDaytrader/status/1547217078129774592
JohnDaytrader,TRUE,2022-07-13,Message for Bidenâ€¦ #inflation #BidenDestroysAmerica #Bidenflation,https://web.archive.org/web/20220713135045/https://twitter.com/JohnDaytrader/status/1547216499030560769
JohnDaytrader,TRUE,2022-06-19,#inflation  https://twitter.com/nestorkim/status/1537445280684965893?s=21&t=OMJzzfy_hRDHustLMEJHRA,https://web.archive.org/web/20220619153620/https://twitter.com/JohnDaytrader/status/1538540766401789952
JohnDaytrader,TRUE,2022-06-17,https://twitter.com/nestorkim/status/1536997088042811392?s=21&t=B1tEk2OhHSi0jDTCPkcYPg,https://web.archive.org/web/20220617120813/https://twitter.com/JohnDaytrader/status/1537768929128505346
JohnDaytrader,TRUE,2022-06-16,https://twitter.com/nestorkim/status/1536998068125581313?s=21&t=DGG_iIsFKURHjfYAZ6V13g,https://web.archive.org/web/20220616202628/https://twitter.com/JohnDaytrader/status/1537531916748050433
JohnDaytrader,TRUE,2022-06-16,#BidenGasCrisis   #BidenGasHike  https://twitter.com/nestorkim/status/1536998068125581313?s=21&t=DGG_iIsFKURHjfYAZ6V13g,https://web.archive.org/web/20220616201147/https://twitter.com/JohnDaytrader/status/1537528276066893825
JohnDaytrader,TRUE,2022-06-16,https://twitter.com/nestorkim/status/1536997088042811392?s=21&t=DGG_iIsFKURHjfYAZ6V13g,https://web.archive.org/web/20220616200920/https://twitter.com/JohnDaytrader/status/1537527599521464322
JohnDaytrader,TRUE,2022-06-16,https://twitter.com/nestorkim/status/1536997088042811392?s=21&t=DGG_iIsFKURHjfYAZ6V13g,https://web.archive.org/web/20220616200807/https://twitter.com/JohnDaytrader/status/1537527233794940929
JohnDaytrader,TRUE,2022-06-16,https://twitter.com/nestorkim/status/1537445280684965893?s=21&t=DGG_iIsFKURHjfYAZ6V13g,https://web.archive.org/web/20220616200451/https://twitter.com/JohnDaytrader/status/1537526434603859968
JohnDaytrader,TRUE,2022-06-16,https://twitter.com/nestorkim/status/1537445280684965893?s=21&t=DGG_iIsFKURHjfYAZ6V13g,https://web.archive.org/web/20220616200841/https://twitter.com/JohnDaytrader/status/1537526244627062784
JohnDaytrader,TRUE,2022-06-16,https://twitter.com/nestorkim/status/1537445280684965893?s=21&t=DGG_iIsFKURHjfYAZ6V13g,https://web.archive.org/web/20220616200317/https://twitter.com/JohnDaytrader/status/1537525368919314433
JohnDaytrader,TRUE,2022-06-16,https://twitter.com/nestorkim/status/1536997088042811392?s=21&t=WkX_xnF7eW7qwIlx67RsoQ,https://web.archive.org/web/20220616140446/https://twitter.com/JohnDaytrader/status/1537435807018909697
JohnDaytrader,TRUE,2022-06-16,#housingmarket  https://twitter.com/nestorkim/status/1536997088042811392?s=21&t=WkX_xnF7eW7qwIlx67RsoQ,https://web.archive.org/web/20220616140414/https://twitter.com/JohnDaytrader/status/1537435465602584576
JohnDaytrader,TRUE,2022-06-16,https://twitter.com/nestorkim/status/1536998068125581313?s=21&t=WkX_xnF7eW7qwIlx67RsoQ,https://web.archive.org/web/20220616124148/https://twitter.com/JohnDaytrader/status/1537414760769241094
JohnDaytrader,TRUE,2022-06-16,https://twitter.com/nestorkim/status/1536997088042811392?s=21&t=WkX_xnF7eW7qwIlx67RsoQ,https://web.archive.org/web/20220616123310/https://twitter.com/JohnDaytrader/status/1537412810887598080
JohnDaytrader,TRUE,2022-06-15,#BidenGasHike   #BidenGasCrisis  https://twitter.com/nestorkim/status/1536998068125581313?s=21&t=-jvqnLM3oXVj82pK92_0xg,https://web.archive.org/web/20220615170252/https://twitter.com/JohnDaytrader/status/1537116185615122433
JohnDaytrader,TRUE,2022-06-15,#BidenGasHike   #BidenDestroysAmerica  https://twitter.com/nestorkim/status/1536998068125581313?s=21&t=-jvqnLM3oXVj82pK92_0xg,https://web.archive.org/web/20220615150142/https://twitter.com/JohnDaytrader/status/1537087743486005250
JohnDaytrader,TRUE,2022-06-15,#BidenIsAFailure   #BidenGasCrisis   #BidensAmerica   #BidenGasHike  https://twitter.com/nestorkim/status/1536998068125581313?s=21&t=-jvqnLM3oXVj82pK92_0xg,https://web.archive.org/web/20220615142729/https://twitter.com/JohnDaytrader/status/1537075503995269120
JohnDaytrader,TRUE,2022-06-15,#BidenGasHike   #BidenDestroysAmerica   #BidensAmerica  https://twitter.com/nestorkim/status/1536998068125581313?s=21&t=k07W3CSIg1ynRFfktFv9MA,https://web.archive.org/web/20220615124221/https://twitter.com/JohnDaytrader/status/1537052532048109570
JohnDaytrader,TRUE,2022-06-15,#recession  https://twitter.com/nestorkim/status/1536997088042811392?s=21&t=k07W3CSIg1ynRFfktFv9MA,https://web.archive.org/web/20220615123958/https://twitter.com/JohnDaytrader/status/1537052096729579522
JohnDaytrader,TRUE,2022-06-15,#BidenWorstPresidentEver   #BidenDestroysAmerica  https://twitter.com/nestorkim/status/1536998068125581313?s=21&t=k07W3CSIg1ynRFfktFv9MA,https://web.archive.org/web/20220615122456/https://twitter.com/JohnDaytrader/status/1537048180801654784
JohnDaytrader,TRUE,2022-06-15,#BidenGasHike   #BidenGasCrisis   #BidenDestroysAmerica  https://twitter.com/nestorkim/status/1536998068125581313?s=21&t=k07W3CSIg1ynRFfktFv9MA,https://web.archive.org/web/20220615122158/https://twitter.com/JohnDaytrader/status/1537047526594990081
JohnDaytrader,TRUE,2022-06-15,#BidenGasCrisis   #BidenGasHike   #BidenDestroysAmerica   #BidensAmerica  https://twitter.com/nestorkim/status/1536998068125581313?s=21&t=k07W3CSIg1ynRFfktFv9MA,https://web.archive.org/web/20220615114650/https://twitter.com/JohnDaytrader/status/1537038781697642498
JohnDaytrader,TRUE,2022-06-15,#BidenGasCrisis   #BidenGasHike   #BidenDestroysAmerica  https://twitter.com/nestorkim/status/1536998068125581313?s=21&t=k07W3CSIg1ynRFfktFv9MA,https://web.archive.org/web/20220615105857/https://twitter.com/JohnDaytrader/status/1537026691238961152
JohnDaytrader,TRUE,2022-06-14,https://twitter.com/nestorkim/status/1536445395085271040?s=21&t=v5cI_W_-_N3e3lkYZRN1_Q,https://web.archive.org/web/20220614005131/https://twitter.com/JohnDaytrader/status/1536511458548269058
JohnDaytrader,TRUE,2022-06-12,#inflation   #economy  https://twitter.com/nestorkim/status/1535943153672499201?s=21&t=WWugGw-alosutcNamDozgw,https://web.archive.org/web/20220612143651/https://twitter.com/JohnDaytrader/status/1535994386907004928
JohnDaytrader,TRUE,2022-06-11,Did you see this  #CryptoNews  ðŸ¤£  $LUNA   $UST   $BTC   #Cryptocrash  coming https://twitter.com/nestorkim/status/1535723951493619712?s=21&t=dHSD3IY7inMNXT1a0jC1bw,https://web.archive.org/web/20220611210529/https://twitter.com/JohnDaytrader/status/1535729894528897026
JohnDaytrader,TRUE,2022-06-11,"Yes, crypto is volatile and a scam  $LUNA   $UST   #Terra_Luna   $BTC   #Cryptocrash  https://twitter.com/nestorkim/status/1535723951493619712?s=21&t=dHSD3IY7inMNXT1a0jC1bw",https://web.archive.org/web/20220611210244/https://twitter.com/JohnDaytrader/status/1535729112077189121
JohnDaytrader,TRUE,2022-06-11,Did you see this news?!?!  $LUNA   $UST   $BTC   #CryptoMarket  https://twitter.com/nestorkim/status/1535723951493619712?s=21&t=dHSD3IY7inMNXT1a0jC1bw,https://web.archive.org/web/20220611205923/https://twitter.com/JohnDaytrader/status/1535728388626960385
JohnDaytrader,TRUE,2022-06-11,"With this news, very very soon! https://twitter.com/nestorkim/status/1535723951493619712?s=21&t=dHSD3IY7inMNXT1a0jC1bw",https://web.archive.org/web/20220611205741/https://twitter.com/JohnDaytrader/status/1535727934065070082
JohnDaytrader,TRUE,2022-06-10,https://twitter.com/nestorkim/status/1535287552047034371?s=21&t=dBoW6fiWvvrAt8Vl7RParA,https://web.archive.org/web/20220610160819/https://twitter.com/JohnDaytrader/status/1535292675271888897
JohnDaytrader,TRUE,2022-05-23,$AAPL  down -$2.50 Going lower,https://web.archive.org/web/20220523221408/https://twitter.com/JohnDaytrader/status/1528861745812742145
JohnDaytrader,TRUE,2022-05-21,https://twitter.com/gregcrennan/status/1528029807849504768?s=21&t=_jMVnekw1zlMGFJwcgatDw,https://web.archive.org/web/20220521151540/https://twitter.com/JohnDaytrader/status/1528031717927297024
JohnDaytrader,TRUE,2022-05-21,https://twitter.com/nestorkim/status/1527465959795183634?s=21&t=_jMVnekw1zlMGFJwcgatDw,https://web.archive.org/web/20220521143131/https://twitter.com/JohnDaytrader/status/1528020599880261632
JohnDaytrader,TRUE,2022-05-21,Give us an update whatâ€™s going on with the ports in China?  #SupplyChain  https://twitter.com/nestorkim/status/1524051318914138112?s=21&t=tIEVyLbHnZP8wPn_b68pHg,https://web.archive.org/web/20220521130518/https://twitter.com/JohnDaytrader/status/1527998751859740673
JohnDaytrader,TRUE,2022-05-21,#SupplyChain   #Inflation  https://twitter.com/nestorkim/status/1524051318914138112?s=21&t=tIEVyLbHnZP8wPn_b68pHg,https://web.archive.org/web/20220521125447/https://twitter.com/JohnDaytrader/status/1527996140242800647
JohnDaytrader,TRUE,2022-05-21,#cryptotrading   #Crypto  https://twitter.com/nestorkim/status/1524476530314948608?s=21&t=tIEVyLbHnZP8wPn_b68pHg,https://web.archive.org/web/20220521125310/https://twitter.com/JohnDaytrader/status/1527995745105854464
JohnDaytrader,TRUE,2022-05-21,pic.twitter.com/1PPt9neISz,https://web.archive.org/web/20220521110903/https://twitter.com/JohnDaytrader/status/1527969675090485253
JohnDaytrader,TRUE,2022-05-20,https://twitter.com/nestorkim/status/1527465959795183634?s=21&t=5hrfxKndVPYZSNqYR_6WAg,https://web.archive.org/web/20220520103011/https://twitter.com/JohnDaytrader/status/1527597366144032768
JohnDaytrader,TRUE,2022-05-20,https://twitter.com/nestorkim/status/1527465959795183634?s=21&t=5hrfxKndVPYZSNqYR_6WAg,https://web.archive.org/web/20220520101112/https://twitter.com/JohnDaytrader/status/1527592660726431744
JohnDaytrader,TRUE,2022-05-19,$LUNA  https://twitter.com/nestorkim/status/1524476530314948608?s=21&t=cgNmY3nf_E9Y0SmpcmC5Qw,https://web.archive.org/web/20220519211709/https://twitter.com/JohnDaytrader/status/1527397785238126593
JohnDaytrader,TRUE,2022-05-19,They wonâ€™t be able to fix thisâ€¦ https://twitter.com/nestorkim/status/1524051318914138112?s=21&t=cgNmY3nf_E9Y0SmpcmC5Qw,https://web.archive.org/web/20220519210237/https://twitter.com/JohnDaytrader/status/1527394136638242817
JohnDaytrader,TRUE,2022-05-19,https://twitter.com/nestorkim/status/1527331438625886208?s=21&t=4guJoFrQDCcSvNOfXowtvQ,https://web.archive.org/web/20220519173317/https://twitter.com/JohnDaytrader/status/1527341403902476289
JohnDaytrader,TRUE,2022-05-19,https://twitter.com/nestorkim/status/1527319907813056515?s=21&t=4guJoFrQDCcSvNOfXowtvQ,https://web.archive.org/web/20220519162330/https://twitter.com/JohnDaytrader/status/1527323477820071938
JohnDaytrader,TRUE,2022-05-19,#supplychain  issue going to be worse than ever https://twitter.com/nestorkim/status/1524051318914138112?s=21&t=cC7eHjtn5UlKlI36P1QlcA,https://web.archive.org/web/20220519130530/https://twitter.com/JohnDaytrader/status/1527274097822306304
JohnDaytrader,TRUE,2022-05-19,#supplychain  disaster coming soon https://twitter.com/nestorkim/status/1524051318914138112?s=21&t=cC7eHjtn5UlKlI36P1QlcA,https://web.archive.org/web/20220519123602/https://twitter.com/JohnDaytrader/status/1527266475500785665
JohnDaytrader,TRUE,2022-05-18,https://twitter.com/nestorkim/status/1524051318914138112?s=21&t=pb8OKVC52vr23eZgY8I1Gw,https://web.archive.org/web/20220518133257/https://twitter.com/JohnDaytrader/status/1526918506079522819
JohnDaytrader,TRUE,2022-05-17,https://twitter.com/nestorkim/status/1524051318914138112?s=21&t=y5zTDOodeQ0FBS9-wd-Zcg,https://web.archive.org/web/20220517122623/https://twitter.com/JohnDaytrader/status/1526539399638487041
JohnDaytrader,TRUE,2022-05-16,https://twitter.com/nestorkim/status/1524478599096582144?s=21&t=mV4mVzynzYqFwGvMJI1Sog,https://web.archive.org/web/20220516180514/https://twitter.com/JohnDaytrader/status/1526262411040370689
JohnDaytrader,TRUE,2022-05-16,https://twitter.com/nestorkim/status/1524051318914138112?s=21&t=udnDscKqgsKR_cW5b9UMZQ,https://web.archive.org/web/20220516025320/https://twitter.com/JohnDaytrader/status/1526032885731536903
JohnDaytrader,TRUE,2022-05-16,https://twitter.com/nestorkim/status/1524051318914138112?s=21&t=udnDscKqgsKR_cW5b9UMZQ,https://web.archive.org/web/20220516025231/https://twitter.com/JohnDaytrader/status/1526032646232580096
JohnDaytrader,TRUE,2022-05-16,https://twitter.com/nestorkim/status/1524051318914138112?s=21&t=udnDscKqgsKR_cW5b9UMZQ,https://web.archive.org/web/20220516025208/https://twitter.com/JohnDaytrader/status/1526032582508523520
JohnDaytrader,TRUE,2022-05-16,https://twitter.com/nestorkim/status/1524051318914138112?s=21&t=udnDscKqgsKR_cW5b9UMZQ,https://web.archive.org/web/20220516025149/https://twitter.com/JohnDaytrader/status/1526032334671290368
JohnDaytrader,TRUE,2022-05-14,$LUNA   #Crypto   #cryptotrading  https://twitter.com/nestorkim/status/1524476530314948608?s=21&t=0O0fv4WjFuInwhgZLY7-yA,https://web.archive.org/web/20220514112302/https://twitter.com/JohnDaytrader/status/1525436423045791747
JohnDaytrader,TRUE,2022-05-14,$LUNA   #UST   #Terra  https://twitter.com/nestorkim/status/1524476530314948608?s=21&t=0O0fv4WjFuInwhgZLY7-yA,https://web.archive.org/web/20220514104630/https://twitter.com/JohnDaytrader/status/1525427102987829249
JohnDaytrader,TRUE,2022-05-14,#Terra   #cryptotrading   $LUNA   $UST  https://twitter.com/nestorkim/status/1524476530314948608?s=21&t=0O0fv4WjFuInwhgZLY7-yA,https://web.archive.org/web/20220514104151/https://twitter.com/JohnDaytrader/status/1525426101144768513
JohnDaytrader,TRUE,2022-05-14,$LUNA   #Terra   #UST   #crypto   #terraluna  https://twitter.com/nestorkim/status/1524476530314948608?s=21&t=0O0fv4WjFuInwhgZLY7-yA,https://web.archive.org/web/20220514103931/https://twitter.com/JohnDaytrader/status/1525425519638065152
JohnDaytrader,TRUE,2022-05-14,$LUNA   #Terra   #StableCoin   #Crypto  https://twitter.com/nestorkim/status/1524476530314948608?s=21&t=0O0fv4WjFuInwhgZLY7-yA,https://web.archive.org/web/20220514103822/https://twitter.com/JohnDaytrader/status/1525423882550886400
JohnDaytrader,TRUE,2022-05-14,$LUNA   #Terra  Luna https://twitter.com/nestorkim/status/1524476530314948608?s=21&t=0O0fv4WjFuInwhgZLY7-yA,https://web.archive.org/web/20220514102852/https://twitter.com/JohnDaytrader/status/1525422727879868416
JohnDaytrader,TRUE,2022-05-14,$LUNA   #Terra   #Crypto   #UST  https://twitter.com/nestorkim/status/1524476530314948608?s=21&t=0O0fv4WjFuInwhgZLY7-yA,https://web.archive.org/web/20220514092723/https://twitter.com/JohnDaytrader/status/1525407233844166656
JohnDaytrader,TRUE,2022-05-12,$LUNA  ðŸ¤£ https://twitter.com/nestorkim/status/1524478599096582144?s=21&t=gQ-hgKYk7s5L06eRJ8TRJg,https://web.archive.org/web/20220512185007/https://twitter.com/JohnDaytrader/status/1524824156084248576
JohnDaytrader,TRUE,2022-05-12,https://twitter.com/nestorkim/status/1524476530314948608?s=21&t=6-yj3wiEmBzlN3JqXHnZBg,https://web.archive.org/web/20220512180755/https://twitter.com/JohnDaytrader/status/1524813472097353730
JohnDaytrader,TRUE,2022-05-12,https://twitter.com/nestorkim/status/1524476530314948608?s=21&t=6-yj3wiEmBzlN3JqXHnZBg,https://web.archive.org/web/20220512164224/https://twitter.com/JohnDaytrader/status/1524791910442868737
JohnDaytrader,TRUE,2022-05-12,#Terra   $LUNA  ðŸ“‰ https://twitter.com/nestorkim/status/1524478599096582144?s=21&t=INu85b74hfDVYjfXutX0RA,https://web.archive.org/web/20220512163403/https://twitter.com/JohnDaytrader/status/1524789845553561606
JohnDaytrader,TRUE,2022-05-12,$LUNA   #Terra  ðŸ¤£ https://twitter.com/nestorkim/status/1524476530314948608?s=21&t=INu85b74hfDVYjfXutX0RA,https://web.archive.org/web/20220512163238/https://twitter.com/JohnDaytrader/status/1524789446549323782
JohnDaytrader,TRUE,2022-05-12,#Terra   $LUNA  https://twitter.com/nestorkim/status/1524478599096582144?s=21&t=INu85b74hfDVYjfXutX0RA,https://web.archive.org/web/20220512162521/https://twitter.com/JohnDaytrader/status/1524787737651515396
JohnDaytrader,TRUE,2022-05-12,$LUNA   #Terra  https://twitter.com/nestorkim/status/1524476530314948608?s=21&t=INu85b74hfDVYjfXutX0RA,https://web.archive.org/web/20220512161931/https://twitter.com/JohnDaytrader/status/1524786155224547328
JohnDaytrader,TRUE,2022-05-12,$LUNA   #Crypto  https://twitter.com/nestorkim/status/1524476530314948608?s=21&t=INu85b74hfDVYjfXutX0RA,https://web.archive.org/web/20220512124902/https://twitter.com/JohnDaytrader/status/1524733175901138944
JohnDaytrader,TRUE,2022-05-12,https://twitter.com/nestorkim/status/1524051318914138112?s=21&t=INu85b74hfDVYjfXutX0RA,https://web.archive.org/web/20220512123934/https://twitter.com/JohnDaytrader/status/1524730912491065344
JohnDaytrader,TRUE,2022-05-12,$LUNA   https://twitter.com/nestorkim/status/1524476530314948608?s=21&t=INu85b74hfDVYjfXutX0RA,https://web.archive.org/web/20220512114455/https://twitter.com/JohnDaytrader/status/1524717186920722433
JohnDaytrader,TRUE,2022-05-12,$LUNA  https://twitter.com/nestorkim/status/1524476530314948608?s=21&t=INu85b74hfDVYjfXutX0RA,https://web.archive.org/web/20220512114252/https://twitter.com/JohnDaytrader/status/1524716420529102848
JohnDaytrader,TRUE,2022-05-12,$BTC   $LUNA    #Terra  https://twitter.com/nestorkim/status/1524476530314948608?s=21&t=INu85b74hfDVYjfXutX0RA,https://web.archive.org/web/20220512113838/https://twitter.com/JohnDaytrader/status/1524715424792854529
JohnDaytrader,TRUE,2022-05-12,$USDT   $LUNA   #Terra  https://twitter.com/nestorkim/status/1524476530314948608?s=21&t=INu85b74hfDVYjfXutX0RA,https://web.archive.org/web/20220512113109/https://twitter.com/JohnDaytrader/status/1524710931057586177
